"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"0500000US12057","Hillsborough County, Florida","31173","null","345","null",
"0500000US12059","Holmes County, Florida","18574","null","1099","null",
"0500000US12061","Indian River County, Florida","35172","null","1292","null",
"0500000US12063","Jackson County, Florida","18882","null","709","null",
"0500000US12065","Jefferson County, Florida","23448","null","1820","null",
"0500000US12067","Lafayette County, Florida","19870","null","4895","null",
"0500000US12069","Lake County, Florida","27052","null","504","null",
"0500000US12071","Lee County, Florida","31924","null","496","null",
"0500000US12073","Leon County, Florida","29754","null","704","null",
"0500000US12075","Levy County, Florida","22025","null","1278","null",
"0500000US12077","Liberty County, Florida","17197","null","1880","null",
"0500000US12079","Madison County, Florida","19223","null","1389","null",
"0500000US12081","Manatee County, Florida","32070","null","552","null",
"0500000US12083","Marion County, Florida","24570","null","568","null",
"0500000US12085","Martin County, Florida","40389","null","1498","null",
"0500000US12086","Miami-Dade County, Florida","26838","null","234","null",
"0500000US12087","Monroe County, Florida","43477","null","1952","null",
"0500000US12089","Nassau County, Florida","35335","null","1589","null",
"0500000US12091","Okaloosa County, Florida","31901","null","762","null",
"0500000US12093","Okeechobee County, Florida","19943","null","1258","null",
"0500000US12095","Orange County, Florida","28859","null","393","null",
"0500000US12097","Osceola County, Florida","21331","null","542","null",
"0500000US12099","Palm Beach County, Florida","37998","null","449","null",
"0500000US12101","Pasco County, Florida","27786","null","392","null",
"0500000US12103","Pinellas County, Florida","33478","null","419","null",
"0500000US12105","Polk County, Florida","23812","null","335","null",
"0500000US12107","Putnam County, Florida","19976","null","744","null",
"0500000US12109","St. Johns County, Florida","41393","null","1275","null",
"0500000US12111","St. Lucie County, Florida","25736","null","534","null",
"0500000US12113","Santa Rosa County, Florida","30904","null","823","null",
"0500000US12115","Sarasota County, Florida","39364","null","651","null",
"0500000US12117","Seminole County, Florida","33419","null","458","null",
"0500000US12119","Sumter County, Florida","33629","null","1188","null",
"0500000US12121","Suwannee County, Florida","21755","null","1630","null",
"0500000US12123","Taylor County, Florida","16919","null","1121","null",
"0500000US12125","Union County, Florida","15475","null","3138","null",
"0500000US12127","Volusia County, Florida","27272","null","434","null",
"0500000US12129","Wakulla County, Florida","24322","null","1180","null",
"0500000US12131","Walton County, Florida","33731","null","1904","null",
"0500000US12133","Washington County, Florida","18112","null","1215","null",
"0500000US13001","Appling County, Georgia","20421","null","1343","null",
"0500000US13003","Atkinson County, Georgia","18565","null","2281","null",
"0500000US13005","Bacon County, Georgia","19634","null","2035","null",
"0500000US13007","Baker County, Georgia","22864","null","3092","null",
