"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"0500000US12091","Okaloosa County, Florida","36762","1020","null","null",
"0500000US12093","Okeechobee County, Florida","24617","1606","null","null",
"0500000US12095","Orange County, Florida","33498","510","null","null",
"0500000US12097","Osceola County, Florida","25491","1101","null","null",
"0500000US12099","Palm Beach County, Florida","43733","630","null","null",
"0500000US12101","Pasco County, Florida","31931","558","null","null",
"0500000US12103","Pinellas County, Florida","39539","540","null","null",
"0500000US12105","Polk County, Florida","27909","570","null","null",
"0500000US12107","Putnam County, Florida","22814","966","null","null",
"0500000US12109","St. Johns County, Florida","46583","1109","null","null",
"0500000US12111","St. Lucie County, Florida","31289","1599","null","null",
"0500000US12113","Santa Rosa County, Florida","35253","996","null","null",
"0500000US12115","Sarasota County, Florida","48265","1781","null","null",
"0500000US12117","Seminole County, Florida","38429","703","null","null",
"0500000US12119","Sumter County, Florida","39922","1592","null","null",
"0500000US12121","Suwannee County, Florida","24302","1844","null","null",
"0500000US12123","Taylor County, Florida","23401","3525","null","null",
"0500000US12125","Union County, Florida","20226","4109","null","null",
"0500000US12127","Volusia County, Florida","32231","633","null","null",
"0500000US12129","Wakulla County, Florida","29425","1764","null","null",
"0500000US12131","Walton County, Florida","38777","2063","null","null",
"0500000US12133","Washington County, Florida","21389","1255","null","null",
"0500000US13001","Appling County, Georgia","22109","1496","null","null",
"0500000US13003","Atkinson County, Georgia","20287","1573","null","null",
"0500000US13005","Bacon County, Georgia","22846","3300","null","null",
"0500000US13007","Baker County, Georgia","22872","3688","null","null",
"0500000US13009","Baldwin County, Georgia","28455","6181","null","null",
"0500000US13011","Banks County, Georgia","26125","1457","null","null",
"0500000US13013","Barrow County, Georgia","27926","794","null","null",
"0500000US13015","Bartow County, Georgia","28467","918","null","null",
"0500000US13017","Ben Hill County, Georgia","20298","1636","null","null",
"0500000US13019","Berrien County, Georgia","22072","1654","null","null",
"0500000US13021","Bibb County, Georgia","27800","885","null","null",
"0500000US13023","Bleckley County, Georgia","23599","2520","null","null",
"0500000US13025","Brantley County, Georgia","19942","1628","null","null",
"0500000US13027","Brooks County, Georgia","27821","5016","null","null",
"0500000US13029","Bryan County, Georgia","35589","2608","null","null",
"0500000US13031","Bulloch County, Georgia","25882","2539","null","null",
"0500000US13033","Burke County, Georgia","27921","4057","null","null",
"0500000US13035","Butts County, Georgia","25902","2659","null","null",
"0500000US13037","Calhoun County, Georgia","16401","3236","null","null",
"0500000US13039","Camden County, Georgia","32003","2627","null","null",
"0500000US13043","Candler County, Georgia","21843","1993","null","null",
"0500000US13045","Carroll County, Georgia","28188","1220","null","null",
"0500000US13047","Catoosa County, Georgia","30461","1228","null","null",
"0500000US13049","Charlton County, Georgia","21824","2019","null","null",
"0500000US13051","Chatham County, Georgia","34886","997","null","null",
"0500000US13053","Chattahoochee County, Georgia","25196","2693","null","null",
"0500000US13055","Chattooga County, Georgia","19577","1335","null","null",
"0500000US13057","Cherokee County, Georgia","40675","1086","null","null",
"0500000US13059","Clarke County, Georgia","27301","920","null","null",
"0500000US13061","Clay County, Georgia","22752","3736","null","null",
"0500000US13063","Clayton County, Georgia","23532","652","null","null",
"0500000US13065","Clinch County, Georgia","18331","2078","null","null",
"0500000US13067","Cobb County, Georgia","44448","720","null","null",
"0500000US13069","Coffee County, Georgia","21528","1214","null","null",
"0500000US13071","Colquitt County, Georgia","23408","1375","null","null",
"0500000US13073","Columbia County, Georgia","36804","1051","null","null",
"0500000US13075","Cook County, Georgia","22490","1933","null","null",
"0500000US13077","Coweta County, Georgia","38527","1303","null","null",
"0500000US13079","Crawford County, Georgia","26429","2315","null","null",
"0500000US13081","Crisp County, Georgia","25798","2515","null","null",
"0500000US13083","Dade County, Georgia","26581","1809","null","null",
"0500000US13085","Dawson County, Georgia","38218","2600","null","null",
"0500000US13087","Decatur County, Georgia","24108","1974","null","null",
"0500000US13089","DeKalb County, Georgia","39994","485","null","null",
"0500000US13091","Dodge County, Georgia","21159","2123","null","null",
"0500000US13093","Dooly County, Georgia","26597","4775","null","null",
"0500000US13095","Dougherty County, Georgia","24402","1123","null","null",
"0500000US13097","Douglas County, Georgia","30260","1148","null","null",
"0500000US13099","Early County, Georgia","22393","2756","null","null",
"0500000US13101","Echols County, Georgia","23036","6032","null","null",
"0500000US13103","Effingham County, Georgia","34545","4329","null","null",
"0500000US13105","Elbert County, Georgia","23647","1545","null","null",
"0500000US13107","Emanuel County, Georgia","22599","2998","null","null",
"0500000US13109","Evans County, Georgia","22695","1405","null","null",
"0500000US13111","Fannin County, Georgia","33262","3247","null","null",
"0500000US13113","Fayette County, Georgia","46522","1591","null","null",
"0500000US13115","Floyd County, Georgia","28051","1192","null","null",
"0500000US13117","Forsyth County, Georgia","49506","1139","null","null",
"0500000US13119","Franklin County, Georgia","25395","2169","null","null",
"0500000US13121","Fulton County, Georgia","52842","800","null","null",
"0500000US13123","Gilmer County, Georgia","30955","2371","null","null",
"0500000US13125","Glascock County, Georgia","25578","3633","null","null",
"0500000US13127","Glynn County, Georgia","36304","1858","null","null",
"0500000US13129","Gordon County, Georgia","26349","1726","null","null",
"0500000US13131","Grady County, Georgia","25533","1871","null","null",
"0500000US13133","Greene County, Georgia","43017","4054","null","null",
"0500000US13135","Gwinnett County, Georgia","33870","614","null","null",
