,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
1383,2019,"Cochise County,Arizona",111416,5899,2281,2924,511,4217,82122,45126
1395,2017,"Coconino County,Arizona",92788,2019,39255,2837,245,4156,121165,20135
1396,2018,"Coconino County,Arizona",93859,2044,39549,2824,247,4391,122369,20545
1397,2019,"Coconino County,Arizona",94757,2172,39325,2985,261,4467,123077,20890
1409,2017,"Gila County,Arizona",42302,388,9499,466,75,889,43427,10192
1410,2018,"Gila County,Arizona",42297,411,9658,485,83,899,43582,10251
1411,2019,"Gila County,Arizona",42357,432,9773,489,84,942,43733,10344
1423,2017,"Graham County,Arizona",30540,683,5217,275,79,736,25214,12316
1424,2018,"Graham County,Arizona",31059,673,5221,272,79,728,25471,12561
1425,2019,"Graham County,Arizona",31789,725,5240,300,77,759,25967,12923
1437,2017,"Greenlee County,Arizona",8562,206,353,92,12,226,5023,4428
1438,2018,"Greenlee County,Arizona",8523,190,381,78,12,240,4947,4477
1439,2019,"Greenlee County,Arizona",8535,208,387,77,13,247,4955,4512
1451,2017,"La Paz County,Arizona",15915,247,3739,198,21,617,15083,5654
1452,2018,"La Paz County,Arizona",16101,246,3822,198,29,634,15139,5891
1453,2019,"La Paz County,Arizona",16277,237,3855,207,36,645,15253,6004
1465,2017,"Maricopa County,Arizona",3600583,268026,121644,197992,12267,128715,2989049,1340178
1466,2018,"Maricopa County,Arizona",3652219,278644,124643,203002,12601,134197,3032543,1372763
1467,2019,"Maricopa County,Arizona",3710128,289834,128007,210900,13072,140320,3084002,1408259
1479,2017,"Mohave County,Arizona",190918,2577,6215,2580,530,4848,173555,34113
1480,2018,"Mohave County,Arizona",193044,2678,6371,2667,551,5060,175101,35270
1481,2019,"Mohave County,Arizona",195984,2804,6462,2765,544,5287,177483,36363
1493,2017,"Navajo County,Arizona",54987,1041,49920,719,155,2323,96517,12628
1494,2018,"Navajo County,Arizona",55776,1121,50338,687,167,2401,97551,12939
1495,2019,"Navajo County,Arizona",56115,1118,50478,684,194,2448,98025,13012
1507,2017,"Pima County,Arizona",872201,43163,44290,33992,2443,31026,643917,383198
1508,2018,"Pima County,Arizona",879982,43909,44868,34573,2454,31960,647837,389909
1509,2019,"Pima County,Arizona",888294,44771,45643,35183,2512,32858,652527,396734
1521,2017,"Pinal County,Arizona",357273,22040,29291,8301,1850,12735,301494,129996
1522,2018,"Pinal County,Arizona",369011,23375,30211,8577,1917,13433,310227,136297
1523,2019,"Pinal County,Arizona",381208,24731,30675,8917,1968,14141,319374,142266
