,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
363,2068-2020,1298,57,90,85,1,80,1541,70
364,2068-2021,1274,50,96,84,1,88,1522,71
367,2070-2019,779,31,3590,45,9,478,4788,144
368,2070-2020,733,33,3529,51,12,481,4678,161
369,2070-2021,720,39,3478,48,12,475,4604,168
372,2090-2019,73257,5280,7771,3321,570,6889,89054,8034
373,2090-2020,71870,4985,7790,3244,547,6850,87552,7734
374,2090-2021,72029,4950,7800,3291,593,6930,87602,7991
377,2100-2019,2051,15,272,24,0,199,2474,87
378,2100-2020,1659,15,213,25,0,173,2011,74
379,2100-2021,1651,16,208,25,0,171,1990,81
382,2105-2019,1034,48,827,19,4,212,2017,127
383,2105-2020,1166,57,889,17,2,230,2213,148
384,2105-2021,1175,46,864,17,2,228,2172,160
387,2110-2019,21927,468,3842,2246,404,3151,29777,2261
388,2110-2020,22010,471,3859,2258,409,3188,29929,2266
389,2110-2021,21825,490,3819,2250,401,3188,29695,2278
392,2122-2019,48963,477,4744,1068,175,3487,56382,2532
393,2122-2020,48816,492,4755,1108,190,3532,56294,2599
394,2122-2021,49445,538,4814,1160,189,3621,57042,2725
397,2130-2019,9378,145,1890,1126,51,1315,13118,787
398,2130-2020,9313,145,1940,1144,49,1311,13123,779
399,2130-2021,9157,145,1953,1143,51,1305,12971,783
402,2150-2019,7116,167,1707,3074,129,1016,12039,1170
403,2150-2020,7022,149,1668,3067,110,1007,11853,1170
404,2150-2021,6846,183,1638,3012,105,1003,11669,1118
407,2164-2019,374,18,985,38,5,163,1539,44
408,2164-2020,337,16,888,43,5,165,1411,43
409,2164-2021,342,15,842,42,8,167,1373,43
412,2170-2019,89297,1427,7532,1868,498,7956,102734,5844
413,2170-2020,88291,1433,7402,1758,492,8084,101525,5935
414,2170-2021,90598,1505,7716,1854,540,8473,104488,6198
417,2180-2019,1536,73,7574,162,19,676,9841,199
418,2180-2020,1472,76,7617,168,19,680,9830,202
419,2180-2021,1454,77,7488,159,19,668,9646,219
422,2185-2019,2799,151,5208,548,176,551,9044,389
423,2185-2020,3325,186,6049,648,188,597,10539,454
424,2185-2021,3272,181,6057,643,207,612,10507,465
427,2188-2019,874,106,6125,84,17,467,7485,188
428,2188-2020,869,111,6219,90,17,478,7582,202
429,2188-2021,835,121,6026,81,18,479,7362,198
432,2195-2019,2428,56,361,168,26,255,3106,188
433,2195-2020,2502,64,366,180,26,263,3210,191
434,2195-2021,2474,64,357,175,28,258,3173,183
437,2198-2019,2871,37,2650,75,29,549,5973,238
438,2198-2020,2630,35,2404,90,31,535,5508,217
439,2198-2021,2641,39,2382,103,30,534,5490,239
442,2220-2019,5586,80,1331,645,36,823,7887,614
