,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
118,24779,1079-2020,1079,33063,0.964410908,16232,16831,42.8,1791,3722,11404,9497,6209,3,25906,3502,1946,85,7,1617,32244,819
119,26810,1079-2021,1079,33090,0.968588256,16281,16809,42.8,1762,3676,11466,9430,6272,3,26000,3443,1947,83,7,1610,32221,869
120,27860,1081-2019,1081,165015,0.966782279,81114,83901,32.8,9482,17484,78093,37437,20505,3,116629,37902,593,6948,148,2795,158857,6158
121,28804,1081-2020,1081,174601,0.976108018,86245,88356,33.3,9711,18804,81756,40017,22104,3,123498,40093,634,7236,162,2978,167951,6650
122,30680,1081-2021,1081,177218,0.974067927,87445,89773,33.7,9619,18899,82692,40584,23192,3,125172,40704,642,7389,172,3139,170244,6974
123,28411,1083-2019,1083,99136,0.999596595,49558,49578,40.1,5452,11237,38064,27762,15289,2,80302,13819,823,1668,186,2338,93118,6018
124,28695,1083-2020,1083,104322,1.010212733,52426,51896,40.2,5623,11897,40021,29316,16004,2,84378,14532,845,1872,182,2513,97819,6503
125,33428,1083-2021,1083,107517,1.010903922,54050,53467,40.3,5589,12232,41522,30008,16693,2,86638,15120,866,2078,183,2632,100575,6942
126,20209,1085-2019,1085,9726,0.890379009,4581,5145,42.3,592,1112,3306,2699,1908,2,2512,7059,33,47,4,71,9541,185
127,21298,1085-2020,1085,10297,0.886588494,4839,5458,41.8,629,1192,3527,2804,2019,2,2629,7518,34,43,4,69,10103,194
128,21936,1085-2021,1085,9965,0.892328143,4699,5266,42.5,612,1099,3382,2710,2025,2,2580,7220,36,47,4,78,9772,193
129,20419,1087-2019,1087,18065,0.836620577,8229,9836,39.7,881,1518,7305,4432,3763,6,3123,14532,49,106,3,252,17717,348
130,22170,1087-2020,1087,19476,0.841179807,8898,10578,39.4,941,1699,7858,4731,4044,6,3474,15600,54,96,3,249,19075,401
131,22542,1087-2021,1087,18895,0.835535263,8601,10294,40,871,1614,7602,4534,4065,6,3403,15088,57,95,3,249,18507,388
132,36620,1089-2019,1089,372547,0.95724035,182204,190343,38.7,21920,40441,147043,101227,57260,2,256536,92561,2935,10053,405,10057,353515,19032
133,38192,1089-2020,1089,389696,0.970121788,191893,197803,38.6,22496,43015,154726,105295,59233,2,268387,96679,3070,10337,422,10801,369008,20688
134,40223,1089-2021,1089,395211,0.974623398,195066,200145,38.7,22218,43291,158297,104984,61262,2,271884,97954,3089,10563,412,11309,373590,21621
135,25635,1091-2019,1091,18919,0.892089209,8920,9999,41.9,1160,2123,6615,4975,3818,7,8827,9762,47,60,35,188,18390,529
136,27975,1091-2020,1091,19264,0.897931034,9114,10150,41.9,1127,2189,6726,5081,3877,7,8960,9966,45,65,34,194,18714,550
