,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1753,12067-2020,8252,1.287773773218741,4645,3607,40.0,342,825,3447,2107,1418
1754,12067-2021,8382,1.3135523047198454,4759,3623,40.2,344,825,3496,2179,1442
1757,12069-2019,366941,0.9394344608879492,177741,189200,47.3,17852,35645,116624,93779,98914
1758,12069-2020,385875,0.9503608831021796,188027,197848,47.1,18513,38004,123324,99118,102393
1759,12069-2021,395804,0.9520331418144156,193039,202765,46.8,18731,38773,128006,100650,104866
1762,12071-2019,772268,0.960100915242364,378274,393994,49.2,35190,67684,240175,196583,224905
1763,12071-2020,764679,0.9703143519711416,376579,388100,49.2,34425,67451,237942,196556,220340
1764,12071-2021,787976,0.9698907527311816,387966,400010,49.5,35036,68403,245335,201919,228930
1767,12073-2019,293866,0.8973786157024793,138986,154880,31.6,15248,27219,146329,60955,41067
1768,12073-2020,292378,0.9026974262193732,138713,153665,31.9,14833,27691,144822,60708,41172
1769,12073-2021,292817,0.9011745304150788,138798,154019,32.1,14467,27726,144942,60002,42438
1772,12075-2019,41620,0.9647830807723174,20437,21183,47.6,2146,4226,12795,11549,10442
1773,12075-2020,43051,0.9702974828375286,21201,21850,47.8,2133,4415,13230,11943,10825
1774,12075-2021,44158,0.9694928861335356,21737,22421,47.7,2170,4457,13716,12056,11190
1777,12077-2019,8341,1.6295712484237077,5169,3172,39.5,363,707,3701,2221,1256
1778,12077-2020,7974,1.6325519973588642,4945,3029,39.7,338,673,3527,2122,1222
1779,12077-2021,7900,1.643908969210174,4912,2988,40.1,318,665,3478,2090,1260
1782,12079-2019,18599,1.1294939317609345,9865,8734,43.5,907,1781,6763,5013,3936
1783,12079-2020,17976,1.1428060555489332,9587,8389,43.5,871,1704,6524,4871,3795
1784,12079-2021,18288,1.143962485345838,9758,8530,43.5,909,1691,6668,4920,3875
1787,12081-2019,402977,0.9334388868897684,194552,208425,49.3,18315,36922,122843,107397,113262
1788,12081-2020,401443,0.942359612537377,194765,206678,49.5,17772,36947,121848,107757,112668
1789,12081-2021,412703,0.9449049703812966,200506,212197,49.8,17967,36870,125623,110329,117219
1792,12083-2019,365997,0.9210524934520966,175478,190519,48.7,18108,34404,112283,90844,106360
1793,12083-2020,377370,0.9326934895726636,182114,195256,48.5,18498,36066,116663,93887,108018
1794,12083-2021,385915,0.9322705173717336,186194,199721,48.4,18368,36851,120538,94944,110887
1797,12085-2019,161212,0.9726396162693944,79488,81724,53.3,6594,12994,44295,44488,51263
1798,12085-2020,158529,0.9834968219808818,78605,79924,53.2,6386,13026,43614,43806,50063
1799,12085-2021,159942,0.9878695981804396,79483,80459,53.3,6272,13014,44387,43564,51121
1802,12086-2019,2711612,0.9466434261232132,1318644,1392968,40.4,156739,270016,1068158,735293,451051
1803,12086-2020,2692459,0.9604475058067992,1319069,1373390,40.6,151923,272742,1051937,741162,443235
1804,12086-2021,2662777,0.961619609882735,1305339,1357438,41.0,145537,266857,1033128,736646,448951
1807,12087-2019,73897,1.0861893738354695,38475,35422,48.2,3326,5653,24295,22818,17198
1808,12087-2020,82809,1.0960589262662312,43302,39507,48.2,3660,6533,27250,25497,19168
1809,12087-2021,82170,1.0979931573303376,43004,39166,48.5,3455,6547,26785,25139,19505
1812,12089-2019,88583,0.9662390126964396,43531,45052,45.8,4479,8953,28899,25094,20098
1813,12089-2020,90993,0.9804335524311149,45047,45946,46.0,4528,9297,29611,25704,20779
1814,12089-2021,94189,0.9759791889567204,46522,47667,46.0,4594,9465,30822,26370,21785
1817,12091-2019,211411,1.029987325241973,107267,104144,37.0,13655,23749,86129,51196,34178
1818,12091-2020,211809,1.0413554486839696,108050,103759,37.2,13367,24309,86317,51095,34133
1819,12091-2021,213255,1.0434161859680726,108893,104362,37.3,13240,24275,87309,50914,34873
1822,12093-2019,42141,1.1599692465402358,22631,19510,41.5,2556,4372,15514,10704,8484
1823,12093-2020,39641,1.1742540587977184,21409,18232,41.6,2389,4183,14482,10205,7902
1824,12093-2021,40266,1.1741900647948165,21746,18520,41.6,2468,4198,14724,10312,8066
1827,12095-2019,1395371,0.9627265502472095,684436,710935,35.6,84100,153832,630866,338815,170486
1828,12095-2020,1429899,0.9721085536251431,704838,725061,36.1,83489,158169,642143,351956,175965
1829,12095-2021,1422746,0.9723270405376556,701392,721354,36.5,80942,154918,634827,351749,182193
1832,12097-2019,374170,0.9723053892215568,184458,189712,36.5,23096,46002,159206,90657,49807
1833,12097-2020,390855,0.98560789254435,194011,196844,36.7,23628,48444,165936,95449,51639
1834,12097-2021,403282,0.9835914789802714,199973,203309,36.9,23843,49697,171049,98683,53935
1837,12099-2019,1497800,0.9406154567727842,725983,771817,45.2,76232,141567,511153,387143,365302
1838,12099-2020,1492466,0.9518263887708248,727815,764651,45.2,74763,143434,508067,389178,360045
1839,12099-2021,1497987,0.9516271083097304,730429,767558,45.4,73714,142101,509280,387900,367614
1842,12101-2019,554032,0.9445450588945514,269116,284916,44.4,28448,57629,188607,147341,125381
1843,12101-2020,565745,0.955740923830002,276471,289274,44.1,28354,60032,193746,151167,125439
1844,12101-2021,584067,0.9553501483083474,285365,298702,43.9,28756,61784,202369,154797,128954
1847,12103-2019,975367,0.9238387344918044,468377,506990,48.8,41157,77727,316742,283190,247523
1848,12103-2020,958752,0.9343404997094712,463104,495648,48.9,39244,77366,311588,279047,242404
1849,12103-2021,956615,0.9339816228127812,461980,494635,49.1,37997,75786,311946,274343,247356
1852,12105-2019,724967,0.9614748798034648,355364,369603,40.2,41563,81082,271209,174063,147878
1853,12105-2020,729233,0.972195252557761,359476,369757,40.1,41091,82533,274232,176205,145480
1854,12105-2021,753520,0.972498318120064,371507,382013,39.9,42255,84877,287019,179640,149543
1857,12107-2019,74309,0.9764083195914676,36711,37598,45.4,4253,8057,23650,19982,17462
1858,12107-2020,73347,0.9860550756816766,36416,36931,45.0,4127,8078,23514,19597,17109
